indices,window,features,clusters,clusters_real,pca,find_optimal,entropy,median,silhouette_cluster,silhouette_return,top_1_percent
8,128,20,10,10,without,False,0.6236650560613659,30.0,0.069673977792263,-0.1692295556295425,0.2815994578109115
8,128,20,3,3,with,False,0.5552118824891635,50.0,0.1149390786886215,-0.0339229154676277,0.561730486840619
8,128,20,3,3,without,False,0.4890996689906256,50.0,0.1086507588624954,-0.0239320837034754,0.5628600474415453
8,128,20,4,4,with,False,0.7125899255963759,40.0,0.0948738232254982,-0.049837255954536,0.4860499265785609
8,128,20,4,4,without,False,0.599597657036687,50.0,0.0796076655387878,-0.0481043978680369,0.4600700327572574
8,128,20,5,5,with,False,0.6072009781921611,30.0,0.0712863132357597,-0.0691470206151942,0.3832599118942731
8,128,20,5,5,without,False,0.7754728902778122,40.0,0.0754017084836959,-0.0695280169446646,0.392296396701683
8,128,20,6,6,with,False,0.737641950105564,30.0,0.0693143531680107,-0.0899616349674185,0.3425957302609285
8,128,20,6,6,without,False,0.614857947675979,30.0,0.0506728366017341,-0.0970788898002686,0.2756127866260024
8,128,20,7,7,with,False,0.7551074798157398,30.0,0.0440509431064128,-0.1024858829262234,0.2304303625889529
8,128,20,7,7,without,False,0.7143056871179119,30.0,0.0492221899330616,-0.0921821095072846,0.2680447305997966
8,128,20,8,8,with,False,0.7416855845228565,30.0,0.0630542114377021,-0.1279351081160924,0.27335366542415
8,128,20,8,8,without,False,0.6769889787750345,30.0,0.0631300136446952,-0.1230987043380939,0.2902970744380436
8,128,20,9,9,with,False,0.7056021202871379,30.0,0.0603287629783153,-0.1416266064294714,0.2564102564102564
8,128,20,9,9,without,False,0.6529418386119115,30.0,0.0628160387277603,-0.1402597217410828,0.27335366542415
8,128,20,4,4,with,True,0.7125899255963759,40.0,0.0948738232254982,-0.049837255954536,0.4860499265785609
8,128,20,4,4,without,True,0.599597657036687,50.0,0.0796076655387878,-0.0481043978680369,0.4600700327572574
3,64,20,10,10,with,False,0.6832256495283805,10.0,0.0894732549786567,-0.1826386686309276,0.302928306967351
3,64,20,10,10,without,False,0.6736004390000707,20.0,0.0652342960238456,-0.1357614507854336,0.2838550431953326
3,64,20,3,3,with,False,0.7253283836191973,20.0,0.1389472484588623,-0.0450119144562567,0.6005834174800853
3,64,20,3,3,without,False,0.8103745284442833,20.0,0.1094415262341499,-0.0343298415365684,0.5848760237854819
3,64,20,4,4,with,False,0.747897766289707,20.0,0.124441273510456,-0.0927364704498312,0.5287781891618983
3,64,20,4,4,without,False,0.8302457167589922,20.0,0.1129151731729507,-0.074246888920508,0.5366318860092001
3,64,20,5,5,with,False,0.6999778761312636,20.0,0.1041983664035797,-0.1051085490231979,0.4861438348479748
3,64,20,5,5,without,False,0.743669743410478,20.0,0.1159743517637252,-0.0995202351477676,0.4996073151576349
3,64,20,6,6,with,False,0.680175669828446,20.0,0.0796438604593277,-0.1369855910849344,0.3769774486704813
3,64,20,6,6,without,False,0.6915206691381051,20.0,0.0828370377421379,-0.1310017045605463,0.4173678895994615
3,64,20,7,7,with,False,0.7079483124426509,10.0,0.0703785493969917,-0.1469763476662624,0.3377089644339728
3,64,20,7,7,without,False,0.7213038161597234,20.0,0.0771497711539268,-0.1343831304248339,0.371367665208123
3,64,20,8,8,with,False,0.6693669876479047,10.0,0.0898245349526405,-0.1591468623322172,0.3534163581285762
3,64,20,8,8,without,False,0.683355243501847,20.0,0.0738965272903442,-0.1253792084711618,0.3511724447436329
3,64,20,9,9,with,False,0.6916851539577868,10.0,0.0845424085855484,-0.1750518345632506,0.299562436889936
3,64,20,9,9,without,False,0.6726216667555187,10.0,0.0760594978928566,-0.1333894149123574,0.3365870077415012
3,64,20,3,3,with,True,0.7253283836191973,20.0,0.1389472484588623,-0.0371701792065829,0.6005834174800853
3,64,20,4,4,without,True,0.8302457167589922,20.0,0.1129151731729507,-0.074246888920508,0.5366318860092001
5,64,20,10,10,with,False,0.637253508538463,10.0,0.0799448862671852,-0.1722926950778937,0.3478065746662179
5,64,20,10,10,without,False,0.6911261202279328,10.0,0.0526298694312572,-0.1418391293477876,0.3163917872770111
5,64,20,3,3,with,False,0.7829325913809647,20.0,0.0785247907042503,-0.0244126739361725,0.5377538427016717
