indices,sim_method,correlations,window,slide,clusters,pca,find_optimal,entropy,median,silhouette_cluster,silhouette_return
5,cophenetic,3,64,1,3,without,False,0.5694622781194347,4.0,0.3786766341089445,-0.0008681614348993
5,cophenetic,3,64,1,3,without,True,0.5694622781194347,4.0,0.3786766341089445,-0.0008681614348993
8,meta,1,64,1,3,with,False,0.45811656028044345,7.5,0.3721708522808879,-0.0740075274696171
8,meta,1,64,1,3,without,False,0.29612100779485345,5.0,0.3474832544898216,-0.0784581851501821
8,meta,1,64,1,3,with,True,0.45811656028044345,7.5,0.3721708522808879,-0.0740075274696171
8,meta,1,64,1,3,without,True,0.29612100779485345,5.0,0.3474832544898216,-0.0784581851501821
8,meta,3,64,1,3,with,False,0.24609495538115003,6.5,0.3858670272489438,-0.0755118299902142
8,meta,3,64,1,3,without,False,0.26698636924563496,6.0,0.3567044432636364,-0.0802991454580219
8,meta,3,64,1,3,with,True,0.24609495538115003,6.5,0.3858670272489438,-0.0755118299902142
8,meta,3,64,1,3,without,True,0.26698636924563496,6.0,0.3567044432636364,-0.0802991454580219
8,cophenetic,1,64,1,3,with,False,0.8215730451371747,6.0,0.2328078927545469,-0.0626902848094193
8,cophenetic,1,64,1,3,without,False,0.7868092951144582,4.0,0.2134303756779366,-0.0779057956726787
8,cophenetic,1,64,1,3,without,True,0.7868092951144582,4.0,0.2134303756779366,-0.0779057956726787
8,cophenetic,3,64,1,3,with,False,0.5900853278088513,3.0,0.3310824451233251,-0.0889945043894833
8,cophenetic,3,64,1,3,without,False,0.5147566793111317,4.0,0.3086022316765471,-0.0858797013091872
8,cophenetic,3,64,1,3,with,True,0.5900853278088513,3.0,0.3310824451233251,-0.0889945043894833
8,cophenetic,3,64,1,3,without,True,0.5147566793111317,4.0,0.3086022316765471,-0.0858797013091872
3,meta,1,64,1,4,with,False,0.3029669098125517,6.0,0.557342053523559,-0.1581837364700952
3,meta,1,64,1,4,without,False,0.2999340241049022,5.0,0.5538276221618768,-0.1459497424727993
3,meta,3,64,1,4,with,False,0.28864046356072975,4.0,0.555839205676423,-0.1465378807252263
3,meta,3,64,1,4,without,False,0.2930834950207284,3.0,0.5379784670991545,-0.1270178521471489
3,cophenetic,1,64,1,4,with,False,0.5708791612505767,3.0,0.7398826816741999,-0.1570956619884556
3,cophenetic,1,64,1,4,without,False,0.6145446228650404,4.0,0.6482826619509355,-0.171250353357599
3,cophenetic,3,64,1,4,with,False,0.5536433964720497,3.0,0.7233539234669808,-0.1361511885996986
3,cophenetic,3,64,1,4,without,False,0.6713964193873584,3.0,0.6224815786167774,-0.1601571028094821
5,meta,1,64,1,4,with,False,0.4393823998558979,5.0,0.3299456302339458,-0.0933129105978215
5,meta,1,64,1,4,without,False,0.5883095289949904,7.0,0.3251695603006987,-0.0857990939119963
5,meta,3,64,1,4,with,False,0.3879713940159028,5.0,0.345675794184324,-0.1037189214427829
5,meta,3,64,1,4,without,False,0.6726828161765142,4.0,0.3392884092320528,-0.0882534842540009
5,cophenetic,1,64,1,4,with,False,0.644278709708436,5.0,0.3488702847925684,-0.1007155332302794
5,cophenetic,1,64,1,4,without,False,0.66539614367277,6.0,0.303964092948653,-0.0745870965875271
5,cophenetic,1,64,1,4,with,True,0.644278709708436,5.0,0.3488702847925684,-0.1007155332302794
5,cophenetic,1,64,1,4,without,True,0.66539614367277,6.0,0.303964092948653,-0.0745870965875271
5,cophenetic,3,64,1,4,with,False,0.5388562346181195,5.0,0.3649959160197008,-0.0735847062875426
5,cophenetic,3,64,1,4,without,False,0.488599250295919,4.0,0.3318259332622812,-0.0655280683352893
5,cophenetic,3,64,1,4,with,True,0.5388562346181195,5.0,0.3649959160197008,-0.0735847062875426
8,meta,1,64,1,4,with,False,0.5532697011044883,4.0,0.3735542556790119,-0.0867769388722447
8,meta,1,64,1,4,without,False,0.2953511042631346,5.0,0.2820655691830239,-0.1062195273295376
8,meta,3,64,1,4,with,False,0.5104482795620323,4.0,0.3883961433204683,-0.0863903957058548
8,meta,3,64,1,4,without,False,0.2653408373694556,6.5,0.2840746888342376,-0.1145276403907812
8,cophenetic,1,64,1,4,with,False,0.8588359359892055,4.0,0.2542712000911651,-0.0910093761511105
8,cophenetic,1,64,1,4,without,False,0.8274447572327969,6.0,0.2202737756707478,-0.1309479446481976
